Head,Message,Type
PM Modi’s ‘9 PM- 9 Mins’ appeal,PM Modi’s ‘9 PM- 9 Mins’ appeal: People buy diyas in Patna,Real
" Covid-19 crisis,","Amid Covid-19 crisis, 198 doctors face absenteeism heat in Bihar",Real
Coronavirus update,"Coronavirus update: US beats its own grim record, Covid-19 death toll touches 1,480 in 24 hours",Real
Covid-19,"Covid-19: Bengaluru civic body to screen women, kid at labour camps",Real
Covid-19,No approval for Covid-19 testing kit that can be used at home,Real
Covid-19,Citizens must exhibit responsible behaviour | Opinion,Real
new coronavirus cases,"7,026 new coronavirus cases in Spain, toll reaches 11,744",Real
Tablighi Jamaat,"Nod to Tablighi Jamaat gathering should have been denied, says Sharad Pawar",Real
says haven’t received a “single rupe,"Kejriwal hits out at Centre for PPE shortage, says haven’t received a “single rupee” from Rs 17,000 crore fund",Real
Covid-19,"Covid-19: Govt discusses preparedness, challenges with industry representatives, global bodies",Real
 lockdown,"Steep drop in pollution since janta curfew, lockdown",Real
coronavirus pandemic,"Amid coronavirus pandemic, doctor BJP MPs are returning to hospitals",Real
Dominic Raab,Dominic Raab: A combative lawyer who is now Boris Johnson’s stand-in as UK Premier,Real
fighting Covid-19,"Lockdown, social distancing only way: Dushyant Chautala on fighting Covid-19",Real
Thane Municipal Corporation,Thane Municipal Corporation asks private hospitals to set up special OPD,Real
Covid-19 fight,How high-level group formed by govt has stepped up Covid-19 fight,Real
spreading coronavirus rumours,Man arrested for spreading coronavirus rumours in Greater Noida,Real
challenge Covid-19 darkness’,India gears up to switch off lights at 9 pm to ‘challenge Covid-19 darkness’,Real
Covid-19 state tally,"Covid-19 state tally: Cases in Maharashtra near 800, no patients in 4 northeast states",Real
UN chief,UN chief urges govts to protect women during coronavirus lockdown,Real
Coronavirus update,Coronavirus update: Karnataka CM tells employers not to cut salaries,Real
Tablighi Jamaat,"Tablighi Jamaat HQ is India’s biggest Covid-19 hotspot, linked to 1,000 cases in India",Real
Canada,Canada govt mulls holding virtual parliament session during Covid-19 crisis,Real
Covid-19 treatment,Trump urges PM Modi to lift export hold on anti-malaria drug for Covid-19 treatment,Real
Covid-19 treatment,Mumbai cyber police issues advisory on cyber crimes amid coronavirus lockdown,Real
Covid-19 treatment,"52 new Covid-19 patients found in Mumbai, count 330; 4 deaths",Real
Covid-19 treatment,Crow deaths trigger panic in Kaimur,Real
 Covid-19 crisis,‘Take immediate action to alleviate concerns of nurses from Kerala’: Vijayan urges Kejriwal,Real
Coronavirus update,"Coronavirus update: Telangana reports 75 new Covid-19 cases, 2 more deaths",Real
Covid-19 ,COVID-19: Bleak summer in Goa as beach shacks pack up,Real
challenge Covid-19 darkness,India switches off lights at 9 pm to ‘challenge Covid-19 darkness’,Real
16 coronavirus cases,"16 coronavirus cases in Andhra Pradesh, tally jumps to 180",Real
Global leaders send wishes to Boris Johnson,Global leaders send wishes to Boris Johnson who remains in intensive care,Real
Covid-19 casess,Covid-19 cases in Maharashtra inch towards 900 after 23 more test positive,Real
Effect of high temperatures on COVID 19,Spain witnesses drop in coronavirus deaths for third day,Real
Effect of high temperatures on COVID 19,Ten of 72 Indian coronavirus patients recover in Singapore,Real
Recovery from the coronavirus disease,Coronavirus crisis: Govt puts curbs on exports of diagnostic kits with immediate effect,Real
Holding your breath for 10 seconds,"Coronavirus testing, treatment free for Ayushman Bharat beneficiaries",Real
Drinking alcohol as a precaution,Maoists in Andhra call for ceasefire amid Covid-19 outbreak,Real
Transmittion of virus in hot and humid climates,92 hospital staff quarantined after patient contracts Covid-19,Real
Transmission through mosquito bites,WHO warns masks are no ‘silver bullet’ for ending pandemic,Real
Effect of cold temperatures on COVID 19,News updates from Hindustan Times: India to form clinical research collaborative on Covid-19 and all the latest news,Real
Effect of using hand dryers,Coronavirus update: Man killed in clash over setting up of quarantine centre in Bengal,Real
ultraviolet disinfection lamp,Woman dies of Covid-19 in Ahmedabad; Gujarat death toll rises to 10,Real
Detection through thermal scanners,"63% of Covid-19 deaths in India among elderly, says govt",Real
Killing the virus by spraying alcohol or chlorine,Goa to begin 3-day community survey to identify potential Covid-19 patients,Real
Coronavirus vaccine,UK PM Boris Johnson invites opposition to join in Covid-19 fight,Real
Preventing infection by rinsing your nose,3 Tablighi Jamaat members among 11 new Covid-19 cases in Kerala,Real
Preventing infection by eating garlic,Born in a pandemic: Hospital provides shelter to family of newborn in Pune,Real
All ages can be infected,"Political ideologies aside, MPs, experts come together to fight Covid-19",Real
Use of Antibiotics,"On World Health Day, PM Modi extends gratitude to those ‘battling the Covid-19 menace’",Real
Medicines for prevention and treatment,"Delhi Police asks religious leaders to follow Covid-19 lockdown, not to congregate on Shab-e-Barat",Real
Health System Response Monitor,Coronavirus: Kejriwal shares ‘5T’ Covid-19 plan for Delhi,Real
Prince Charles recovery,"News updates from Hindustan Times at 9 PM: Amid Covid-19 pandemic, doctor BJP MPs are returning to hospitals and all the latest news",Real
News about COVID-19,Coronavirus update: EU officials wish UK PM Boris Johnson ‘a full recovery’,Real
Covid-19 lockdown,Covid-19 lockdown: ‘City sees nine incidents of gathering of crowd daily’,Real
test negative for Covid-19,42 doctors of Pune’s Dr DY Patil hospital test negative for Covid-19,Real
Covid-19 news from India,A new plan and antibody tests: Covid-19 news from India,Real
Covid-19 myths ,War against Covid-19 myths has Pune scientists helping world keep it real,Real
 coronavirus cases,Bhopal reports 54 coronavirus cases after 14 more test positive,Real
Coronavirus update,Coronavirus update: New Zealand minister goes on a drive amid Covid-19 lockdown; demoted,Real
Covid-19 death,"Covid-19 death toll rises to 111 in India, number of cases to 4,281: Health Ministry",Real
Covid-19 state tally,"Covid-19: Across West Asia, life in lockdown is a study in contrast",Real
comprehensive broad discussion,Resume interstate traffic after ‘comprehensive broad discussion: Bhupesh Baghel to PM,Real
Covid-19 outbreak,Covid-19 outbreak: Mukesh Ambani’s net worth drops 28% to USD 48 billion in 2 months,Real
 Covid-19 patient ,"60-year-old Covid-19 patient dies in Bikaner, 12 new cases in Rajasthan",Real
 coronavirus crisis,"Amid coronavirus crisis, a look at countries untouched by the deadly contagion",Real
Effect of high temperatures on COVID 19,"Cops, docs get exemption from salary cut in Telugu states, to get full salaries",Real
Effect of high temperatures on COVID 19,‘Will do all we can’: How PM Modi responded to Trump’s request on Covid-19 drug,Real
Recovery from the coronavirus disease,"Covid-19:?Birth of Corona, a Great Indian Bustard chick in Jaisalmer enthuses bird lovers",Real
Holding your breath for 10 seconds,"In act of solidarity, to light candle of hope, Pune switches off at 9pm",Real
Drinking alcohol as a precaution,Covid-19: West Bengal FM urges Nirmala Sitharaman to release state’s Revenue Deficit Grant in 3 installments,Real
Transmittion of virus in hot and humid climates,Odisha records first coronavirus death after 72-year-old Jharpada man tests positive,Real
Transmission through mosquito bites,"2 FIRs against Tablighi workers for spreading disease in hospital, quarantine centre",Real
Effect of cold temperatures on COVID 19,Coronavirus update: Odisha’s Ganjam district to fine people for not wearing masks,Real
Effect of using hand dryers,"Coronavirus update: MP tribal beaten to death by police during lockdown, alleges family",Real
ultraviolet disinfection lamp,"Finding a balance in the fight against Covid-19, writes Karan Thapar",Real
Detection through thermal scanners,"UP-bound 13 bikers from Vizag caught in Jamshedpur, quarantined in PCTC",Real
Killing the virus by spraying alcohol or chlorine,DoE directs schools to provide food for disabled students during lockdown,Real
Coronavirus vaccine,‘Let’s light a lamp’: PM Modi tweets Atal Bihari Vajpayee’s poem as reminder for Sunday,Real
Preventing infection by rinsing your nose,"UK PM Boris Johnson ‘doing well’ in hospital, stays in charge of COVID-19 response",Real
Preventing infection by eating garlic,Current Covid-19 spread mimics H1N1 pandemic of 2009: Govt document,Real
All ages can be infected,"Coronavirus update: British PM Boris Johnson had oxygen support, not on ventilator, says minister",Real
Use of Antibiotics,Trader who died in Varanasi on Friday tested positive for coronavirus,Real
Medicines for prevention and treatment,France to test plasma of coronavirus survivors to treat sick,Real
Health System Response Monitor,"News updates from Hindustan Times at 5 PM: Uddhav Thackeray talks about communal virus, then issues a warning on Covid-19 messages and all the latest news",Real
Prince Charles recovery,Iran will never ask United States for coronavirus help:?Report,Real
News about COVID-19,Mumbai’s Workhardt hospital shut after 26 nurses test Covid-19 positive,Real
 Covid-19 in hotspots,Maharashtra govt to focus on containment of Covid-19 in hotspots,Real
 mineral production,Centre allows mineral production in Rajasthan,Real
Covid-19 statewise tally,"News updates from Hindustan Times at 1 pm: Covid-19 statewise tally: Tamil Nadu, Delhi outnumber coronavirus cases in Kerala and all the latest news at this hour",Real
Volunteers unite to map Mumbai,Volunteers unite to map Mumbai’s hunger amid lockdown,Real
Foreign Tablighi ,Foreign Tablighi workers stopped from leaving at airports; cops say action begins,Real
Covid-19 ,"Covid-19: Centre may extend lockdown after Apr 14 as states, experts make request",Real
Covid-19 ,Covid-19 cases in Mumbai tripled in five days,Real
 fight Covid-19,People of India will together fight Covid-19: Rahul Gandhi,Real
Coronavirus update,Coronavirus update: Bengaluru civic body uses two hotels as quarantine centres,Real
Covid-19 update,"Covid-19 update: New York gets 1,100 ventilators with help from China, Oregon",Real
19 more positive cases,"19 more positive cases in Andhra Pradesh in last 24 hrs, tally goes up to 180",Real
 coronavirus,"More than 60,000 deaths worldwide from coronavirus",Real
Mumbai woman stuck in Delhi,Mumbai woman stuck in Delhi thanks Maharashtra CM for help,Real
Covid-19 cases,"1,445 out of 4,067 Covid-19 cases linked to Tablighi Jamaat: Health Ministry",Real
Covid-19 ,"Covid-19 outbreak: 18-yr-old skips birthday celebration, donates piggy bank saving to CM fund",Real
Coronavirus update:,Coronavirus update: Donald Trump sends wishes to ‘very good friend’ Boris Johnson as his Covid-19 symptoms ‘worsen’,Real
Colloportus your doors,‘Colloportus your doors’: Mumbai Police’s Harry Potter-inspired lockdown message,Real
Covid-19 ,Covid-19: BMC seals area around Uddhav Thackeray’s residence as tea seller tests positive,Real
‘Lighting candles ,‘Lighting candles okay as there is nothing to do at home’: Raj Thackeray,Real
combat Covid-19,Bengal Governor urges Mamata to work together with PM to combat Covid-19,Real
Centre to states,Local officials not getting lockdown instructions right: Centre to states,Real
iomedical waste from quarantine homes,Biomedical waste from quarantine homes remain a potential hazard,Real
Covid-19 update,Covid-19 update- ‘Must help others but…’: Rahul Gandhi weighs in after India eases hydroxychloroquine export,Real
Covid-19 update,Students of classes 1-8 to be promoted without exams in Haryana: CM Khattar,Real
positive of COVID-19,Indian zoos put on ‘highest alertness’ after Bronx zoo tiger tests positive of COVID-19,Real
Covid-19 suspect dies,"Covid-19 suspect dies while trying to escape from hospital, report comes negative",Real
Covid-19 outbreak,"Covid-19 outbreak: US, UK set to evacuate their nationals from India",Real
healthcare workers on World Health Day,"‘You make us proud, inspire us’: UN Chief lauds nurses, healthcare workers on World Health Day",Real
 Covid-19 crisis,"Queen to address Britons amid Covid-19 crisis, Dubai imposes lockdown: 10 points",Real
HT editorial,Show political imagination | HT editorial,Real
Explained,Passenger trains may be resumed on a case-to-case basis: Explained,Real
Coronavirus,"Coronavirus: 4 northeast states untouched by Covid-19, no cases in Lakshadweep",Real
In times of Covid-19,"In times of Covid-19, doctor-turned-politicians lend a hand",Real
Covid-19,Greater Noida contributes for fight against Covid-19,Real
Covid-19,259 of 386 Covid-19 cases in national capital have Markaz link: Delhi health minister,Real
India hits out at Imran Khan for his comments,India hits out at Imran Khan for his comments on J&K domicile rules,Real
Coronavirus roundup,Coronavirus roundup: Developments in India and rest of world,Real
Lockdown poses challenges,Lockdown poses challenges for persons with disabilities despite 'curfew passes' protocol,Real
Tablighi Jamaat,'Unruly' Tablighis be killed with bullets: MNS chief,Real
Four Hizbul  terrorists killed,"Four Hizbul  terrorists killed, soldier injured in Kulgam encounter",Real
9 terrorists killed,"3 soldiers dead in 2 J&K ops in 24 hrs, 9 terrorists killed",Real
violence at home during lockdown,NCW gets SOS from women facing violence at home during lockdown,Real
address to the nation,Full Text: PM Modi's address to the nation,Real
 Congress playing 'petty politics',"Sonia Gandhi slams govt for 'unplanned' lockdown, Amit Shah says Congress playing 'petty politics'",Real
Covid-19 chain,Have restricted my movement to break COVID-19 chain: CRPF DG after doc tests positive,Real
coronavirus pandemic,"PM Modi, Prince Charles discuss coronavirus pandemic",Real
 RSS general secretary,Migrant workers need to assured society is with them: RSS general secretary,Real
Coronavirus,Coronavirus: Restrictions in Kashmir Valley tightened,Real
PM Modi leads country,PM Modi leads country in lighting diyas to express resolve to win anti-corona battle,Real
Covid-19 ,Covid-19: DRDO develops portable backpack for sanitisation equipment,Real
48-hour total shutdown,"Curfew-like 48-hour total shutdown in Bhubaneswar, Bhadrak and Cuttack",Real
 Covid-19 positive,"5 more test Covid-19 positive, tally rises to 75 in J&K",Real
Coronavirus,Coronavirus: It may be time for everyone to mask up,Real
Covid-19 victims,Maharashtra Congress seeks special burial spots for Covid-19 victims,Real
Coronavirus latest updates,"Coronavirus latest updates: CRPF DG, senior officers under home quarantine",Real
 Covid-19,What WHO has to say on the usage of facemasks against Covid-19,Real
 Covid-19,ICMR issues advisory for rapid antibody-based blood tests for Covid-19,Real
On 40th foundation day,"On 40th foundation day, BJP expresses gratitude to founding members, leaders, workers",Real
fake mask,Make your own face mask at home. It’s simple,Real
Coronavirus,"Coronavirus: Death toll in India rises to 77, number of cases to 3,374",Real
Railways take lead in essential supply,Railways take lead in essential supply with freight & parcel trains,Real
Covid-19 ,"Covid-19: Centre fights virus on the one hand, polarisation on the other",Real
fight Covid-19,"Modi, Bolsonaro discuss ways to jointly fight Covid-19",Real
Covid patients,How Covid war is hurting India's non-Covid patients,Real
Covid-19 ,Covid-19: India's cash transfer scheme inspires other countries,Real
Yogi Adityanath,"Tablighi Jamaat event attendees should be 'caught', seize phones to examine call details: Yogi Adityanath",Real
PM dons mundu & gamosa,"PM dons mundu & gamosa, shines light on integration",Real
4 terrorists killed,4 terrorists killed by security forces in J&K's Kulgam,Real
Covid-19 pandemic,Rs 56cr for innovations to combat Covid-19 pandemic,Real
fake mask,Coronavirus: How to make a mask?,Real
Tablighi members,"Centre revokes visas, will deport Tablighi members",Real
Coronavirus,Coronavirus: DRDO develops portable decontamination chamber,Real
 help to recharge phones,"After food, people in relief camps want help to recharge phones",Real
PM Modi,Light up lamps on Sunday night to display collective strength to defeat coronavirus: PM Modi,Real
"Stay Home, Save Lives","Stay Home, Save Lives: Google Doodle lists measures to prevent coronavirus",Real
Fake mask,BJP president Nadda for popularising use of mask through mass campaign,Real
Covid-19 testing,"Covid-19 testing, treatment free for Ayushman Bharat beneficiaries at private labs, empanelled hospitals",Real
PPEs in short supply,"PPEs in short supply, medics get infected",Real
Coronavirus,"Coronavirus: Amit Shah, Javadekar attend GoM meet at Rajnath Singh's residence",Real
handling Covid-19 cases,Health ministry issues guidelines for states on oxygen supply to facilities handling Covid-19 cases,Real
 COVID-19 lockdown,Ram Vilas Paswan thanks FCI workers for timely delivery of grains amid COVID-19 lockdown,Real
fake mask,DIY masks: What precautions you need to take while using a handmade mask,Real
Effect of high temperatures on COVID 19,PM Narendra Modi's video message on Covid-19: Key points,Real
Effect of high temperatures on COVID 19,Special milk train to run at 110 kmph,Real
Recovery from the coronavirus disease,"About 40,000 Indian seafarers stranded across globe on account of lockdown: Maritime bodies",Real
Holding your breath for 10 seconds,JKAP welcomes changes to domicile rule,Real
Drinking alcohol as a precaution,PM Modi discusses coronavirus pandemic with German Chancellor,Real
Transmittion of virus in hot and humid climates,How employers are using new tech to track those working from home,Real
Transmission through mosquito bites,Govt unveils Aarogya Setu COVID-19 tracker app,Real
Effect of cold temperatures on COVID 19,"Modi calls all-party video meet, TMC says it’ll skip it",Real
Effect of using hand dryers,EPFO to accept Aadhaar as birth proof online from subscribers,Real
ultraviolet disinfection lamp,Coronavirus roundup: Developments in India and rest of world,Real
Detection through thermal scanners,Govt fears waste of milk & vegetables as enough local produce don't reach market,Real
Killing the virus by spraying alcohol or chlorine,‘Professional PIL shops' must be locked down during Covid-19 pandemic: Centre to SC,Real
Coronavirus vaccine,Covid-19: Three IAF personnel in quarantine,Real
Preventing infection by rinsing your nose,Coronavirus: Why do I need to wear a mask?,Real
Preventing infection by eating garlic,Govt made 'grave mistake' by not taking states into confidence on lockdown: Veerappa Moily,Real
All ages can be infected,Children's helpline receives nearly 3 lakh calls since lockdown,Real
Use of Antibiotics,Four institutes get 1.3cr funding for Covid-19 solutions,Real
Medicines for prevention and treatment,"PM holds talks with former Presidents, ex-PMs, party heads",Real
Health System Response Monitor,"CSIR-IMTECH steps in to take up 100 sample testing a day for COVID-19, move to boost India’s testing capacity",Real
Prince Charles recovery,SC employees take salary cut to contribute Rs 1 crore to PM Cares Fund,Real
News about COVID-19,"UP, MP invoke NSA for attacks, harassment of health workers",Real
learning closer,Shutting classrooms enables to bring remote learning closer,Real
 battle against Covid-19,"Entire country lit lamps on PM's call, shows Indians united in battle against Covid-19: JP Nadda",Real
HRD minister,"Decision on reopening schools, colleges on April 14: HRD minister",Real
400 COVID-19 case,400 COVID-19 cases with linkage to Tablighi Jamaat found: Health Ministry,Real
fake mask,"Masks, screening health status, social distancing: Railways prepares for post-lockdown services",Real
Coronavirus,Coronavirus: Govt advises people to wear homemade face covers in public places,Real
to Covid-19,Prince Charles' office refutes Indian minister's Ayurveda link to Covid-19,Real
Centre asks states,"Centre asks states to ensure smooth harvesting, sowing activities",Real
maintains supply chain,"Web platform to help farmers with virtual market, maintains supply chain",Real
 PM Modi urges countrymen,Don't cross 'Lakshman Rekha' of social distancing: PM Modi urges countrymen,Real
coronavirus,Coronavirus: Do I need to clean and dispose of a mask?,Real
 Maha CM,Lifting of lockdown depends on compliance to norms: Maha CM,Real
COVID-19,COVID-19: Govt holding online awareness sessions with anganwadi workers,Real
Two terrorists reportedly killed ,Two terrorists reportedly killed in encounter with security forces in J&K's Kulgam,Real
 COVID-19 free,Let's make India COVID-19 free': PM Modi on BJP's 40th foundation day,Real
COVID-19,COVID-19: Orders for over 10 crore anti-malarial hydroxychloroquine tablets placed by Centre,Real
lockdown will end on April 15,"Arunachal CM Khandu tweets 'lockdown will end on April 15', then deletes it",Real
PM’s diya call,Netizens split over response to PM’s diya call,Real
Home Secretary tells states,"Disseminate info, book lockdown violators under IPC, DM Act, Home Secretary tells states",Real
 Covid-19 cases,102 new Covid-19 cases in Tamil Nadu; total 411,Real
Coronavirus,"Coronavirus: Shortage of PPE, masks easing, says govt",Real
Coronavirus,Coronavirus: Kerala tops recovery-rate table,Real
Kabul gurdwara attack arrested,Pak mastermind of Kabul gurdwara attack arrested,Real
Goventment,Govt mulls sops for labourers in key services,Real
corona authorities,31 co-passengers of Manipur's 2nd positive case asked to report to corona authorities,Real
PM Modi's appeal to light lamps on April 5,Opposition slams PM Modi's appeal to light lamps on April 5,Real
COVID-19 relief efforts,Priyanka pledges Cong workers support to religious organisations in COVID-19 relief efforts,Real
Switching off lights could lead to grid collapse,Switching off lights could lead to grid collapse : Tharoor on PM Modi's call,Real
 Tablighi Jamaat ,Govt initiates blacklisting proceedings against 360 foreign Tablighi Jamaat members,Real
 spread of coronavirus,PM Narendra Modi holds meeting of Empowered Groups to formulate response against spread of coronavirus,Real
lighting lamps,PM s appeal on lighting lamps is BJP's hidden agenda : HD Kumaraswamy,Real
Covid-19 death,"Covid-19 death toll in India rises to 62, cases to 2,547",Real
fight coronavirus,"PM Modi, Trump agree to deploy 'full strength' of India-US partnership to fight coronavirus",Real
 OBC,Now KV's and JNV's to provide 27% quota for OBC,Real
lockdown,"5,500km international borders in NE region shut during lockdown",Real
 Ahmed Patel,Centre must consider number of Covid-19 cases to allocate funds to states: Ahmed Patel,Real
over Covid-19,Govt should have called all party meet over Covid-19: Congress,Real
Covid-19 lockdown,"Covid-19 lockdown: For a change, Yamuna flows cleaner and full",Real
Covid-19 lockdown,"Army foils infiltration bid in Kupwara, 5 terrorists, one soldier killed",Real
Covid-19,COVID-19: Over 400 more test positive; PM hints at 'staggered' exit post 21-day lockdown,Real
Home ministry reminds states of its order,"Home ministry reminds states of its order, asks them to allow agri operations during lockdown period",Real
 Owaisi,"Those who die due to epidemic are martyrs, their last rites must be performed immediately: Owaisi",Real
Cops rope in drone enthusiasts,"Cops rope in drone enthusiasts, photographers for surveillance",Real
combat COVID-19,Science ministry sets up a rapid response centre at IIT Bombay to combat COVID-19,Real
Covid-19,COVID-19: AIIMS Delhi doctor tests positive,Real
 Congress to Centre,Give more financial aid to states to help them deal with coronavirus outbreak: Congress to Centre,Real
 We're proud of you',Assalaam Alaikum!' This is Karachi's control welcoming Air India.. We're proud of you',Real
Fresh cases of coronavirus in Rajasthan,"Fresh cases of coronavirus in Rajasthan, curfew imposed in two areas",Real
Govt likely to allow flight operations,Govt likely to allow flight operations in staggered manner post lockdown,Real
Effect of high temperatures on COVID 19,YSRCP MP Midhun Reddy seeks fiscal stimulus for Andhra Pradesh,Real
Effect of high temperatures on COVID 19,Kailash Satyarthi brings focus on child protection during lockdown,Real
Recovery from the coronavirus disease,Health minister concerned over misbehavior with doctors treating corona patients,Real
Holding your breath for 10 seconds,What WHO and CDC have to say on usage of facemasks against Covid-19,Real
Drinking alcohol as a precaution,What awaits migrants when they reach home,Real
Transmittion of virus in hot and humid climates,"‘Home test kit’ sold online, regulator says not approved",Real
Transmission through mosquito bites,"Swap stranded Indians, Brits on UK charter planes, says Keith Vaz",Real
Effect of cold temperatures on COVID 19,Govt gives stranded foreigners exemption from lockdown,Real
Effect of using hand dryers,HC stays Kerala’s move to sell liquor to tipplers,Real
ultraviolet disinfection lamp,"Priyanka Gandhi urges UP govt to listen to woes of medical staff from Banda, ensure justice",Real
Detection through thermal scanners,"Railways issues 'restoration plan' to zones, asks to prepare for resumption of services from April 15",Real
Killing the virus by spraying alcohol or chlorine,"Total 17 seats in Bihar legislative council to fall vacant, as Election Commission defers beginning of poll process due to lockdown",Real
Coronavirus vaccine,MHA starts blacklisting 360 foreign Tablighi members who left India,Real
Preventing infection by rinsing your nose,PM pays tribute to Jagjivan Ram on birth anniversary,Real
Preventing infection by eating garlic,SC to govt: End Kerala-Karnataka border deadlock,Real
All ages can be infected,"Wedlockdown: Girl in Delhi, boy in Mumbai tie the knot",Real
Use of Antibiotics,Lockdown step: 'Home delivery' of FIR in UP's Muzaffarnagar,Real
Medicines for prevention and treatment,Omar Abdullah showers praise on Uddhav Thackeray,Real
Health System Response Monitor,Covid-19: 107 foreigners under quarantine in Haryana,Real
Prince Charles recovery,"If I feel like sleeping, I will do that: Mamata on PM's call to light candles",Real
News about COVID-19,Army havaldar commits suicide in Samba,Real
Centre to states,Designate officers to issue authorisation letters to key supply chain firms: Centre to states,Real
mid virus lockdown,TV viewership soars to record levels amid virus lockdown,Real
Tablighi foreigners,"960 Tablighi foreigners blacklisted, visas cancelled by MHA; states told to take legal action",Real
 Covid-19 cases,Rate of doubling of Covid-19 cases 4.1 days; without Jamaat incident it would have been 7.4: Centre,Real
 Covid-19 patients,"Armed forces further ramp up medical facilities, dedicate 19 hospitals solely for Covid-19 patients",Real
Coronavirus,Coronavirus: N?SA to be slapped against persons who attack policemen enforcing lockdown in UP,Real
Covid-19,Lighting lamps alone won't help win war against Covid-19: Congress,Real
"Stay home, save lives","Stay home, save lives: Google Doodle shares tips to prevent spread of coronavirus",Real
COVID-19,Some doctors believe BCG may be helpful against COVID-19,Real
Coronavirus,"Coronavirus: India's Covid-19 death toll rises to 68, number of cases to 2,902",Real
Covid-19,Covid-19 positive cases in Andhra Pradesh rise to 143,Real
Transmittion of virus in hot and humid climates,ICJ moves UNHRC against China for Covid-19 reparations,Real
Transmission through mosquito bites,Venkaiah Naidu urges countrymen to show solidarity with COVID-19 warriors by lighting lamps tonight,Real
Effect of cold temperatures on COVID 19,"Covid-19 death toll rises to 75, cases climb to 3,072",Real
Effect of using hand dryers,Innovations in times of Covid19,Real
ultraviolet disinfection lamp,Could we see a second Covid-19 wave?,Real
Detection through thermal scanners,Management of waste from Covid-19 isolation wards now part of 'essential services',Real
Killing the virus by spraying alcohol or chlorine,"Coronavirus: Can't evacuate Indians stranded abroad, taking steps for their safety, Centre tells HC",Real
Coronavirus vaccine,US opening doors to Indian medical graduates under Covid-19 pressure,Real
Preventing infection by rinsing your nose,"Coronavirus latest updates: Death toll rises to 75, total cases climb to 3,072",Real
Preventing infection by eating garlic,"It's everyone's collective duty to help, protect health workers: Priyanka Gandhi",Real
All ages can be infected,"What happened in Nizamuddin is unfortunate, but targeting a community for it is unacceptable: YS Jagan Mohan Reddy",Real
Use of Antibiotics,"Light diyas on Sunday at 9pm: Don’t believe in unscientific forwards, govt says",Real
Medicines for prevention and treatment,Coronavirus: Toll surges past 100 with 27 deaths reported in 24 hours,Real
Health System Response Monitor,PM shares Vajpayee's famous poem to remind people to light diyas on Sunday night,Real
Prince Charles recovery,Govt app to track if you have been near a Covid +ve person,Real
News about COVID-19,Covid-19: Yogi Adityanath ensures long haul for Tablighis in UP,Real
PM Modi's video message,"No vision of future, just feel-good moment curated by 'Photo-Op PM': Shashi Tharoor on PM Modi's video message",Real
Centre agrees to submit status report,"Centre agrees to submit status report on migrant workers to SC, but slams frivolous PILs",Real
District courts used video-conference,"District courts used video-conference extensively, why can't SC & HCs in resuming full court operation?",Real
Centre agrees to submit status report,Centre agrees to submit status report on migrant workers' shelter and food,Real
Nine new COVID-19 cases,Nine new COVID-19 cases reported in Kerala,Real
PM Modi's mother responds,"Holding diya in hand, PM Modi's mother responds to lights-out call",Real
Centre on plea by activists,SC seeks response from Centre on plea by activists for payment of wages to migrant workers,Real
 Indian Constitution,First J&K HC judge takes oath under Indian Constitution,Real
Covid-19,Why Covid-19 strikes in clusters,Real
Covid-19 news on social media,People feel 50-80% Covid-19 news on social media 'fake': Survey,Real
PM Modi,Countrymen showed unprecedented discipline and sense of service during lockdown: PM Modi,Real
Coronavirus,Coronavirus latest updates: 704 new cases reported since Sunday,Real
Coronavirus,"Coronavirus:  Modi speaks to  former presidents, PMs, Sonia & other leaders",Real
Railways look at RORO services ,Railways look at RORO services for faster movement of trucks with essentials,Real
Tablighi foreigners,‘Tablighi chief ignored advice of clerics on cancelling meet’,Real
Coronavirus,Coronavirus: EC uses constitutional powers to further defer Rajya Sabha polls to 18 seats,Real
Covid-19 cases,"Covid-19 cases continue global advance, toll above 54,000",Real
Centre to religious leaders,Appeal people not to visit places of worship during lockdown: Islamic Centre to religious leaders,Real
Covid-19 lockdown,Covid-19 lockdown: Autorickshaw drivers seek govt relief,Real
 Covid-19 screening,Ashok Gehlot appeals to Tablighi Jamaat attendees to report for Covid-19 screening,Real
Covid-19,"Centre to give Rs 11,092cr to states to deal with Covid-19",Real
Industry bodies say,"Relief measures announced till date provide no succour to travel, tourism industry, Industry bodies say",Real
domicile rules 'cosmetic',J&K political parties call amended domicile rules 'cosmetic',Real
Covid-19,Covid-19: 4 men slapped with NSA for attacking health workers,Real
"Covid-19, several under home quarantine","CRPF DG, senior officers tested for Covid-19, several under home quarantine",Real
Transmittion of virus in hot and humid climates,Day 10 of coronavirus lockdown: Ground report from Indian cities,Real
Transmission through mosquito bites,Sonia Gandhi's criticism of lockdown insensitive; this is not time for politics: BJP chief J P Nadda,Real
Effect of cold temperatures on COVID 19,"NHA teams, Uber to work together for transportation of frontline healthcare workers",Real
Effect of using hand dryers,India ‘considering’ Trump’s plea on supply of key drug,Real
ultraviolet disinfection lamp,Netizens hit out at Centre over decision to accept foreign aid,Real
Detection through thermal scanners,Coronavirus national roundup: India reports highest spike in positive cases over last 24 hours,Real
Killing the virus by spraying alcohol or chlorine,States to issue authorization letters having nation-wide supply chains of essential goods: Home ministry,Real
Coronavirus vaccine,"How India's fighting Covid-19 with low-cost ventilators, face shields",Real
Preventing infection by rinsing your nose,Bihar opposition leaders assail PM Modi for skipping 'real issues' in his address to nation',Real
